epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99117,3.15489,3.734,2.25107,0.00032,0.02794,0.00024,0.0001,4.03822,4.96463,3.24474,0.00011817,0.00011817,0.00011817
2,5.29322,2.74662,3.16517,2.01466,0.19598,0.00492,0.00706,0.00328,4.05977,4.76292,3.13941,0.000229232,0.000229232,0.000229232
3,7.93033,2.3273,2.63494,1.69301,0.755,0.00504,0.0292,0.01596,3.69796,4.62363,2.89524,0.000323495,0.000323495,0.000323495
4,10.1899,2.16109,2.34226,1.54402,0.25889,0.08585,0.08767,0.04733,2.9646,3.89389,2.3487,0.00040096,0.00040096,0.00040096
5,12.4347,2.05089,2.25498,1.51205,0.31164,0.18057,0.17334,0.09532,2.36132,2.97295,1.83849,0.000461627,0.000461627,0.000461627
6,29.8048,1.9062,2.14896,1.38466,0.29491,0.28388,0.24223,0.1292,2.02928,2.39918,1.51733,0.000505495,0.000505495,0.000505495
7,32.023,1.82969,2.03853,1.35909,0.33178,0.33578,0.28348,0.14251,1.94017,2.21222,1.44041,0.000532565,0.000532565,0.000532565
8,34.2653,1.78132,1.93089,1.31991,0.41597,0.36127,0.32711,0.16523,1.85658,1.92779,1.36796,0.000489042,0.000489042,0.000489042
9,36.5507,1.72527,1.84779,1.29596,0.53506,0.3461,0.36305,0.19194,1.7965,1.77419,1.32698,0.000429048,0.000429048,0.000429048
10,39.4809,1.71758,1.77834,1.28116,0.55984,0.38009,0.38534,0.19562,1.82419,1.73761,1.33625,0.000369054,0.000369054,0.000369054
11,44.9395,1.70039,1.74241,1.27283,0.52465,0.3828,0.41419,0.21338,1.76987,1.64518,1.28756,0.00030906,0.00030906,0.00030906
12,50.2546,1.67865,1.68955,1.2598,0.49132,0.43317,0.43272,0.22708,1.76946,1.61086,1.28757,0.000249066,0.000249066,0.000249066
13,55.7445,1.66147,1.65753,1.24109,0.58654,0.4195,0.45553,0.23627,1.76391,1.57254,1.28906,0.000189072,0.000189072,0.000189072
14,60.9126,1.65008,1.64917,1.25339,0.50638,0.44817,0.46094,0.24099,1.77149,1.56949,1.28889,0.000129078,0.000129078,0.000129078
15,66.0781,1.63887,1.63726,1.23392,0.51073,0.4681,0.45983,0.24325,1.76859,1.57995,1.28324,6.9084e-05,6.9084e-05,6.9084e-05
